"id","title","doi","pmid","altmetric_jid","issns","journal","cohorts.sci","cohorts.pub","cohorts.com","cohorts.doc","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","authors1","authors2","authors3","authors4","authors5","authors6","type","altmetric_id","schema","is_oa","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","last_updated","score","history.1y","history.6m","history.3m","history.1m","history.1w","history.6d","history.5d","history.4d","history.3d","history.2d","history.1d","history.at","url","added_on","published_on","readers.citeulike","readers.mendeley","readers.connotea","readers_count","images.small","images.medium","images.large","details_url","cited_by_wikipedia_count","cited_by_fbwalls_count","cited_by_msm_count","cited_by_feeds_count","authors7","authors8","authors","authors9","authors10","authors11","cited_by_rdts_count","publisher_subjects.name","publisher_subjects.scheme","issns1","issns2","scopus_subjects","cited_by_videos_count","authors12","authors13","authors14","authors15","authors16","authors17","authors18","authors19","authors20","handles","handle","authors21","authors22","authors23","authors24","authors25","authors26","authors27","authors28","scopus_subjects1","scopus_subjects2","abstract","subjects","cited_by_rh_count","authors29","authors30","authors31","authors32","authors33","authors34","authors35","authors36","authors37","authors38","authors39","authors40","authors41","authors42","authors43","ads_id","cited_by_gplus_count","publisher_subjects.name1","publisher_subjects.name2","publisher_subjects.name3","publisher_subjects.name4","publisher_subjects.scheme1","publisher_subjects.scheme2","publisher_subjects.scheme3","publisher_subjects.scheme4","cited_by_qna_count","pmc","subjects1","subjects2","publisher_subjects.name5","publisher_subjects.scheme5","uri","handles1","handles2","abstract_source","cited_by_peer_review_sites_count","cited_by_weibo_count"
"nat1","New evidence on the earliest domesticated animals and possible small-scale husbandry in Atlantic NW Europe","10.1038/s41598-020-77002-4","33208792","4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports","8","34","3","1","16345096","9.2129981908315","845537","94","15499030","87177","16.213033724879","8477","90","78693","255761","15.531629543322","21193","91","234548","13808","16.660830882885","1222","91","12584","Philippe Crombé","Kim Aluwé","Mathieu Boudin","Christophe Snoeck","Liesbeth Messiaen","Dimitri Teetaert","article","94695634","1.5.4","FALSE","46","46","46","1606780037","25.95","25.95","25.95","25.95","25.95","3.95","2","0","0","0","0","0","25.95","http://dx.doi.org/10.1038/s41598-020-77002-4","1605952487","1605657600","0","0","0","0","https://badges.altmetric.com/?size=64&score=26&types=tttttttt","https://badges.altmetric.com/?size=100&score=26&types=tttttttt","https://badges.altmetric.com/?size=180&score=26&types=tttttttt","http://www.altmetric.com/details.php?citation_id=94695634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat2","X-ray micro-computed tomography reveals a unique morphology in a new click-beetle (Coleoptera, Elateridae) from the Eocene Baltic amber","10.1038/s41598-020-76908-3","33214585","4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports",NA,"2","1",NA,"16340420","9.2119063208826","4739126","70","11561979","87118","16.240335433957","30415","64","56331","256602","15.648513910701","90451","64","165683","13752","16.696707730347","5043","63","8682","Robin Kundrata","Andris Bukejs","Alexander S. Prosvirov","Johana Hoffmannova",NA,NA,"article","94605386","1.5.4","FALSE","4","3","4","1606510793","3.75","3.75","3.75","3.75","3.75","0","0","0","0","0","0","0","3.75","http://dx.doi.org/10.1038/s41598-020-76908-3","1605812305","1605744000","0","0","0","0","https://badges.altmetric.com/?size=64&score=4&types=ttttttww","https://badges.altmetric.com/?size=100&score=4&types=ttttttww","https://badges.altmetric.com/?size=180&score=4&types=ttttttww","http://www.altmetric.com/details.php?citation_id=94605386","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat3","A symmoriiform from the Late Devonian of Morocco demonstrates a derived jaw function in ancient chondrichthyans","10.1038/s42003-020-01394-2","33203942","5a132f8e7ac79e36ae6cf1b1","2399-3642","Communications Biology","24","45","1",NA,"16344250","9.2126787465098","52431","99","16291872","1377","32.790533430233","22","98","1355","259598","15.607767308559","1603","99","257994","698","27.932978479197","9","98","689","Linda Frey","Michael I. Coates","Kristen Tietjen","Martin Rücklin","Christian Klug",NA,"article","94464296","1.5.4","FALSE","123","70","111","1606739960","317.5","317.5","317.5","317.5","317.5","0.5","0.5","0","0","0","0","0","317.5","http://dx.doi.org/10.1038/s42003-020-01394-2","1605618967","1605571200","0","0","0","0","https://badges.altmetric.com/?size=64&score=318&types=mbttttwf","https://badges.altmetric.com/?size=100&score=318&types=mbttttwf","https://badges.altmetric.com/?size=180&score=318&types=mbttttwf","http://www.altmetric.com/details.php?citation_id=94464296","1","2","33","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat4","A revised definition for copal and its significance for palaeontological and Anthropocene biodiversity-loss studies","10.1038/s41598-020-76808-6","33199762","4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports","6","4",NA,NA,"16300420","9.199304153957","809848","95","15489966","86805","16.24469360859","8196","90","78604","228227","15.994029093968","18870","91","209354","13449","16.71470389649","1159","91","12290","Mónica M. Solórzano-Kraemer","Xavier Delclòs","Michael S. Engel","Enrique Peñalver",NA,NA,"article","94380225","1.5.4","FALSE","13","10","13","1606086682","27.08","27.08","27.08","27.08","27.08","0","0","0","0","0","0","0","27.08","http://dx.doi.org/10.1038/s41598-020-76808-6","1605529374","1605484800","0","4","0","4","https://badges.altmetric.com/?size=64&score=28&types=mbtttttt","https://badges.altmetric.com/?size=100&score=28&types=mbtttttt","https://badges.altmetric.com/?size=180&score=28&types=mbtttttt","http://www.altmetric.com/details.php?citation_id=94380225",NA,NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat5","A test of the lateral semicircular canal correlation to head posture, diet and other biological traits in “ungulate” mammals","10.1038/s41598-020-76757-0","33177568","4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports","12","23","1",NA,"16344357","9.2126192947565","455297","97","15888846","87170","16.249863345914","5242","93","81931","315436","15.952164471285","15483","95","299942","13809","16.654380938586","756","94","13053","J. Benoit","L. J. Legendre","A. A. Farke","J. M. Neenan","B. Mennecart","L. Costeur","article","94091277","1.5.4","FALSE","51","36","41","1606573976","51.85","51.85","51.85","51.85","51.85","0","0","0","0","0","0","0","51.85","http://dx.doi.org/10.1038/s41598-020-76757-0","1605097632","1605052800","0","4","0","4","https://badges.altmetric.com/?size=64&score=52&types=mtttttwf","https://badges.altmetric.com/?size=100&score=52&types=mtttttwf","https://badges.altmetric.com/?size=180&score=52&types=mtttttwf","http://www.altmetric.com/details.php?citation_id=94091277","1","1","3",NA,"S. Merigeaud","P. R. Manger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat6","Experimental tests of bivalve shell shape reveal potential tradeoffs between mechanical and behavioral defenses","10.1038/s41598-020-76358-x","33173119","4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports",NA,"1",NA,NA,"16243811","9.1840299246233","10369423","23","3874455","86277","16.224840442302","51764","32","28259","262516","15.88548948441","155959","31","83954","12949","16.643974822366","7971","30","3984",NA,NA,NA,NA,NA,NA,"article","94178065","1.5.4","FALSE","1","1","1","1605223786","1","1","1","1","1","0","0","0","0","0","0","0","1","http://dx.doi.org/10.1038/s41598-020-76358-x","1605224872","1604966400","0","2","0","2","https://badges.altmetric.com/?size=64&score=1&types=tttttttt","https://badges.altmetric.com/?size=100&score=1&types=tttttttt","https://badges.altmetric.com/?size=180&score=1&types=tttttttt","http://www.altmetric.com/details.php?citation_id=94178065",NA,NA,NA,NA,NA,NA,"Erynn H. Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat7","Drimolen cranium DNH 155 documents microevolution in an early hominin species","10.1038/s41559-020-01319-6","33168991","587df5117ac79e6d1450be41","2397-334X","Nature Ecology & Evolution","128","374","14","3","16344186","9.2126203099128","2340","99","16341863","1263","151.81906180666","6","99","1257","317717","15.914624696269","203","99","317514","81","178.2952","1","98","80","Jesse M. Martin","A. B. Leece","Simon Neubauer","Stephanie E. Baker","Carrie S. Mongle","Giovanni Boschian","article","93960135","1.5.4","FALSE","880","519","710","1606898320","1764.41","1764.41","1764.41","1764.41","1764.41","7","7","7","7","0","0","0","1764.41","http://dx.doi.org/10.1038/s41559-020-01319-6","1604938893","1604880000","0","0","0","0","https://badges.altmetric.com/?size=64&score=1765&types=mbrtttwf","https://badges.altmetric.com/?size=100&score=1765&types=mbrtttwf","https://badges.altmetric.com/?size=180&score=1765&types=mbrtttwf","http://www.altmetric.com/details.php?citation_id=93960135","4","7","169","10","Gary T. Schwartz","Amanda L. Smith",NA,"Justin A. Ledogar","David S. Strait","Andy I. R. Herries","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat8","Enhanced fish production during a period of extreme global warmth","10.1038/s41467-020-19462-w","33159071","4f6fa62f3cf058f610008259","2041-1723","Nature Communications","15","14","1",NA,"16277567","9.1945888570728","625505","96","15652075","31675","50.18224082844","9940","68","21734","290604","16.01387125391","19032","93","271571","5577","56.943545193687","1870","66","3707","Gregory L. Britten","Elizabeth C. Sibert",NA,NA,NA,NA,"article","93811007","1.5.4","FALSE","39","30","33","1605682482","36.43","36.43","36.43","36.43","36.43","0","0","0","0","0","0","0","36.43","http://dx.doi.org/10.1038/s41467-020-19462-w","1604667289","1604620800","0","8","0","8","https://badges.altmetric.com/?size=64&score=37&types=bttttttw","https://badges.altmetric.com/?size=100&score=37&types=bttttttw","https://badges.altmetric.com/?size=180&score=37&types=bttttttw","http://www.altmetric.com/details.php?citation_id=93811007","1",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"Multidisciplinary","era",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat9","Molecular identification and geographic origin of a post-Medieval elephant finding from southwestern Portugal using high-throughput sequencing","10.1038/s41598-020-75323-y",NA,"4f6fa8213cf058f61000bc80","2045-2322","Scientific Reports",NA,"1",NA,NA,"16230318","9.1774943132604","10360465","23","3871546","86158","16.233899346542","51679","32","28238","254422","15.708660810232","150859","32","81710","12835","16.691701262272","7901","30","3959","Nikolaos Psonis","Carlos Neto de Carvalho","Silvério Figueiredo","Eugenia Tabakaki","Despoina Vassou","Nikos Poulakakis","article","94110117","1.5.4","FALSE","1","1","1","1605121531","1","1","1","1","1","1","0","0","0","0","0","0","1","http://dx.doi.org/10.1038/s41598-020-75323-y","1605121842","1604620800","0","2","0","2","https://badges.altmetric.com/?size=64&score=1&types=tttttttt","https://badges.altmetric.com/?size=100&score=1&types=tttttttt","https://badges.altmetric.com/?size=180&score=1&types=tttttttt","http://www.altmetric.com/details.php?citation_id=94110117",NA,NA,NA,NA,"Dimitris Kafetzopoulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nat10","Ediacaran Doushantuo-type biota discovered in Laurentia","10.1038/s42003-020-01381-7","33159138","5a132f8e7ac79e36ae6cf1b1","2399-3642","Communications Biology","16","35","1",NA,"16341212","9.212144071083","103284","99","16237948","1375","32.691851528384","39","97","1336","322905","16.021783211108","3926","98","318979","696","28.173073381295","17","97","679","Sebastian Willman","John S. Peel","Jon R. Ineson","Niels H. Schovsbo","Elias J. Rugen","Robert Frei","article","93813067","1.5.4","FALSE","86","52","74","1606949533","189.4","189.4","189.4","189.4","189.4","2.85","2.85","2.85","1","1","0","0","189.4","http://dx.doi.org/10.1038/s42003-020-01381-7","1604670525","1604620800","0","5","0","5","https://badges.altmetric.com/?size=64&score=190&types=mmtttttw","https://badges.altmetric.com/?size=100&score=190&types=mmtttttw","https://badges.altmetric.com/?size=180&score=190&types=mmtttttw","http://www.altmetric.com/details.php?citation_id=93813067","1",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
