"id","title","doi","pmid","pmc","ads_id","altmetric_jid","issns","journal","cohorts.pub","cohorts.sci","cohorts.com","abstract","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","authors1","authors2","authors3","authors4","type","altmetric_id","schema","is_oa","cited_by_posts_count","cited_by_msm_count","cited_by_feeds_count","cited_by_tweeters_count","cited_by_fbwalls_count","cited_by_wikipedia_count","cited_by_gplus_count","cited_by_rdts_count","cited_by_videos_count","cited_by_accounts_count","last_updated","score","history.1y","history.6m","history.3m","history.1m","history.1w","history.6d","history.5d","history.4d","history.3d","history.2d","history.1d","history.at","url","added_on","published_on","readers.citeulike","readers.mendeley","readers.connotea","readers_count","images.small","images.medium","images.large","details_url","cohorts.doc","authors5","authors6","authors7","authors8","authors9","authors10","authors11","authors12","authors13","authors14","authors15","authors16","authors17","authors18","authors19","authors20","authors21","authors22","authors23","authors24","authors25","authors26","authors27","authors28","authors29","authors30","authors31","authors32","authors33","uri","cited_by_policies_count","cited_by_rh_count","issns1","issns2","scopus_subjects","authors34","authors35","authors36","authors37","authors38","authors39","authors40","authors41","subjects"
"sci1","The earliest herbivorous marine reptile and its remarkable jaw apparatus","10.1126/sciadv.1501659","27386529","PMC4928886","2016SciA....2E1659C","552536762a83eec8018b456b","2375-2548","Science Advances","67","6","1","Newly discovered fossils of the Middle Triassic reptile Atopodentatus unicus call for a radical reassessment of its feeding behavior. The skull displays a pronounced hammerhead shape that was hitherto unknown. The long, straight anterior edges of both upper and lower jaws were lined with batteries of chisel-shaped teeth, whereas the remaining parts of the jaw rami supported densely packed needle-shaped teeth forming a mesh. The evidence indicates a novel feeding mechanism wherein the chisel-shaped teeth were used to scrape algae off the substrate, and the plant matter that was loosened was filtered from the water column through the more posteriorly positioned tooth mesh. This is the oldest record of herbivory within marine reptiles.","16116890","9.1412375662518","9906","99","16107028","5389","118.85051707498","129","97","5260","266252","12.502577748064","286","99","265966","128","200.24483464567","8","93","120","Li Chun","Olivier Rieppel","Cheng Long","Nicholas C. Fraser","article","7268206","1.5.4","FALSE","213","89","11","74","7","3","4","2","1","191","1581509904","816.992","0.5","0","0","0","0","0","0","0","0","0","0","816.992","http://dx.doi.org/10.1126/sciadv.1501659","1462778592","1462492800","0","46","0","46","https://badges.altmetric.com/?size=64&score=817&types=mbvrtwfg","https://badges.altmetric.com/?size=100&score=817&types=mbvrtwfg","https://badges.altmetric.com/?size=180&score=817&types=mbvrtwfg","http://www.altmetric.com/details.php?citation_id=7268206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci2","The anatomy, paleobiology, and evolutionary relationships of the largest extinct side-necked turtle","10.1126/sciadv.aay4593","32095528",NA,NA,"552536762a83eec8018b456b","2375-2548","Science Advances","509","53","6",NA,"16249957","9.1866312547486","4653","99","16245309","5538","119.4313314069","55","99","5483","316441","14.441620958159","253","99","316188","444","92.458031602709","3","99","441","Cadena, E.-A.","Scheyer, T. M.","Carrillo-Briceño, J. D.","Sánchez, R.","article","75931008","1.5.4","FALSE","734","95","10","573","14","2",NA,"2",NA,"696","1600973183","1227.326","1227.326","8.58","1.5","0","0","0","0","0","0","0","0","1227.326","http://dx.doi.org/10.1126/sciadv.aay4593","1581534125","1581465600","0","40","0","40","https://badges.altmetric.com/?size=64&score=1228&types=mbrtttwf","https://badges.altmetric.com/?size=100&score=1228&types=mbrtttwf","https://badges.altmetric.com/?size=180&score=1228&types=mbrtttwf","http://www.altmetric.com/details.php?citation_id=75931008","5","Aguilera-Socorro, O. A","Vanegas, A.","Pardo, M.","Hansen, D. M.","Sánchez-Villagra, M. R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci3","Wear biomechanics in the slicing dentition of the giant horned dinosaurTriceratops","10.1126/sciadv.1500055","26601198","PMC4640618","2015SciA....1E0055E","552536762a83eec8018b456b","2375-2548","Science Advances","21","3","2","Herbivorous reptiles rarely evolve occluding dentitions that allow for the mastication (chewing) of plant matter. Conversely, most herbivorous mammals have occluding teeth with complex tissue architectures that self-wear to complex morphologies for orally processing plants. Dinosaurs stand out among reptiles in that several lineages acquired the capacity to masticate. In particular, the horned ceratopsian dinosaurs, among the most successful Late Cretaceous dinosaurian lineages, evolved slicing dentitions for the exploitation of tough, bulky plant matter. We show how Triceratops, a 9-m-long ceratopsian, and its relatives evolved teeth that wore during feeding to create fullers (recessed central regions on cutting blades) on the chewing surfaces. This unique morphology served to reduce friction during feeding. It was achieved through the evolution of a complex suite of osseous dental tissues rivaling the complexity of mammalian dentitions. Tribological (wear) properties of the tissues are preserved in ~66-million-year-old teeth, allowing the creation of a sophisticated three-dimensional biomechanical wear model that reveals how the complexes synergistically wore to create these implements. These findings, along with similar discoveries in hadrosaurids (duck-billed dinosaurs), suggest that tissue-mediated changes in dental morphology may have played a major role in the remarkable ecological diversification of these clades and perhaps other dinosaurian clades capable of mastication.","16233466","9.1789143153304","248543","98","15985574","5508","119.84908698021","1591","71","3916","238166","9.4567071484055","4061","98","234104","64","157.52085714286","19","70","45","Gregory M. Erickson","Mark A. Sidebottom","David I. Kay","Kevin T. Turner","article","4100623","1.5.4","FALSE","45","6","4","26","7",NA,NA,NA,"1","44","1529120921","90.764","0","0","0","0","0","0","0","0","0","0","0","90.764","http://dx.doi.org/10.1126/sciadv.1500055","1433527533","1433462400","0","62","0","62","https://badges.altmetric.com/?size=64&score=91&types=mbvttttf","https://badges.altmetric.com/?size=100&score=91&types=mbvttttf","https://badges.altmetric.com/?size=180&score=91&types=mbvttttf","http://www.altmetric.com/details.php?citation_id=4100623",NA,"Nathan Ip","Mark A. Norell","W. Gregory Sawyer","Brandon A. Krick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci4","The burrowing origin of modern snakes","10.1126/sciadv.1500743","26702436","PMC4681343","2015SciA....1E0743Y","552536762a83eec8018b456b","2375-2548","Science Advances","49","18","2","Modern snakes probably originated as habitat specialists, but it controversial unclear whether they were ancestrally terrestrial burrowers or marine swimmers. We used x-ray virtual models of the inner ear to predict the habit of Dinilysia patagonica, a stem snake closely related to the origin of modern snakes. Previous work has shown that modern snakes perceive substrate vibrations via their inner ear. Our data show that D. patagonica and modern burrowing squamates share a unique spherical vestibule in the inner ear, as compared with swimmers and habitat generalists. We built predictive models for snake habit based on their vestibular shape, which estimated D. patagonica and the hypothetical ancestor of crown snakes as burrowers with high probabilities. This study provides an extensive comparative data set to test fossoriality quantitatively in stem snakes, and it shows that burrowing was predominant in the lineages leading to modern crown snakes.","16248698","9.1852285600433","35937","99","16212872","5529","119.58835998553","361","93","5168","369805","9.371160598587","896","99","368909","84","114.29510843373","10","88","74","Hongyu Yi","Mark A. Norell",NA,NA,"article","4815573","1.5.4","FALSE","137","42","6","70","8","2","4",NA,NA,"132","1575968352","404.322","8","0","0","0","0","0","0","0","0","0","0","404.322","http://dx.doi.org/10.1126/sciadv.1500743","1448654220","1448582400","1","17","0","18","https://badges.altmetric.com/?size=64&score=405&types=mbtttwfg","https://badges.altmetric.com/?size=100&score=405&types=mbtttwfg","https://badges.altmetric.com/?size=180&score=405&types=mbtttwfg","http://www.altmetric.com/details.php?citation_id=4815573","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci5","A new fossil assemblage shows that large angiosperm trees grew in North America by the Turonian (Late Cretaceous)","10.1126/sciadv.aar8568","30263954","PMC6157959","2018SciA....4R8568J","552536762a83eec8018b456b","2375-2548","Science Advances","55","36","5","The diversification of flowering plants and marked turnover in vertebrate faunas during the mid-Cretaceous transformed terrestrial communities, but the transition is obscured by reduced terrestrial deposition attributable to high sea levels. We report a new fossil assemblage from multiple localities in the Upper Cretaceous Ferron Sandstone Member of the Mancos Shale Formation in Utah. The fossils date to the Turonian, a severely underrepresented interval in the terrestrial fossil record of North America. A large silicified log (maximum preserved diameter, 1.8 m; estimated height, ca. 50 m) is assigned to the genus Paraphyllanthoxylon; it is the largest known pre-Campanian angiosperm and the earliest documented occurrence of an angiosperm tree more than 1.0 m in diameter. Foliage and palynomorphs of ferns, conifers, and angiosperms confirm the presence of mixed forest or woodland vegetation. Previously known terrestrial vertebrate remains from the Ferron Sandstone Member include fish teeth, two short dinosaur trackways, and a pterosaur; we report the first turtle and crocodilian remains and an ornithopod sacrum. Previous studies indicate that angiosperm trees were present by the Cenomanian, but this discovery demonstrates that angiosperm trees approaching 2 m in diameter were part of the forest canopies across southern North America by the Turonian (~92 million years ago), nearly 15 million years earlier than previously thought.","16247564","9.1847958914142","128366","99","16119323","5528","119.64779518726","959","82","4569","279268","13.663498236455","4002","98","275266","232","117.31964502165","36","84","196","Nathan A. Jud","Michael D. D’Emic","Scott A. Williams","Josh C. Mathews","article","48919519","1.5.4","FALSE","135","10","3","97","3","2","1","1","1","118","1593888702","158.726","6.8","6.8","0","0","0","0","0","0","0","0","0","158.726","http://dx.doi.org/10.1126/sciadv.aar8568","1537985777","1537920000","0","25","0","25","https://badges.altmetric.com/?size=64&score=159&types=mbvrtwfg","https://badges.altmetric.com/?size=100&score=159&types=mbvrtwfg","https://badges.altmetric.com/?size=180&score=159&types=mbvrtwfg","http://www.altmetric.com/details.php?citation_id=48919519","1","Katie M. Tremaine","Janok Bhattacharya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci6","Evolutionary trade-off in reproduction of Cambrian arthropods","10.1126/sciadv.aaz3376",NA,NA,NA,"552536762a83eec8018b456b","2375-2548","Science Advances","79","18","4",NA,"16209965","9.1717518807562","316507","98","15893342","5503","119.09020937841","1914","65","3589","276820","20.37942103685","11496","95","265319","574","80.677469458988","155","72","419","Qiang Ou","Jean Vannier","Xianfeng Yang","Ailin Chen","article","80853269","1.5.4","FALSE","121","1",NA,"102",NA,"1",NA,NA,NA,"104","1589845118","72.95","72.95","0","0","0","0","0","0","0","0","0","0","72.95","http://dx.doi.org/10.1126/sciadv.aaz3376","1588222046","1588118400","0","16","0","16","https://badges.altmetric.com/?size=64&score=73&types=mttttttw","https://badges.altmetric.com/?size=100&score=73&types=mttttttw","https://badges.altmetric.com/?size=180&score=73&types=mttttttw","http://www.altmetric.com/details.php?citation_id=80853269","1","Huijuan Mai","Degan Shu","Jian Han","Dongjing Fu","Rong Wang","Georg Mayer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci7","A mid-Cretaceous embryonic-to-neonate snake in amber from Myanmar","10.1126/sciadv.aat5042","30035227","PMC6051735","2018SciA....4.5042X","552536762a83eec8018b456b","2375-2548","Science Advances","553","34","10","We present the first known fossilized snake embryo/neonate preserved in early Late Cretaceous (Early Cenomanian) amber from Myanmar, which at the time, was an island arc including terranes from Austral Gondwana. This unique and very tiny snake fossil is an articulated postcranial skeleton, which includes posterior precloacal, cloacal, and caudal vertebrae, and details of squamation and body shape; a second specimen preserves a fragment of shed skin interpreted as a snake. Important details of skeletal ontogeny, including the stage at which snake zygosphene-zygantral joints began to form along with the neural arch lamina, are preserved. The vertebrae show similarities to those of fossil Gondwanan snakes, suggesting a dispersal route of Gondwanan faunas to Laurasia. Finally, the new species is the first Mesozoic snake to be found in a forested environment, indicating greater ecological diversity among early snakes than previously thought.","16250537","9.1873434250961","5298","99","16245249","5540","119.49852356021","63","98","5477","278202","14.157189672215","164","99","278038","231","125.68906956522","3","98","228","Lida Xing","Michael W. Caldwell","Rui Chen","Randall L. Nydam","article","45199526","1.5.4","FALSE","844","69","15","597","16","2","2",NA,"2","703","1588742503","1148.144","13.5","0","0","0","0","0","0","0","0","0","0","1148.144","http://dx.doi.org/10.1126/sciadv.aat5042","1531936808","1531872000","0","52","0","52","https://badges.altmetric.com/?size=64&score=1149&types=mbvttwfg","https://badges.altmetric.com/?size=100&score=1149&types=mbvttwfg","https://badges.altmetric.com/?size=180&score=1149&types=mbvttwfg","http://www.altmetric.com/details.php?citation_id=45199526",NA,"Alessandro Palci","Tiago R. Simões","Ryan C. McKellar","Michael S. Y. Lee","Ye Liu","Hongliang Shi","Kuan Wang","Ming Bai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci8","Phylogenetic and physiological signals in metazoan fossil biomolecules","10.1126/sciadv.aba6883",NA,NA,NA,"552536762a83eec8018b456b","2375-2548","Science Advances","35","32","4",NA,"16203165","9.1611715315592","215586","98","15987884","5483","119.58745348413","1430","73","4053","293589","18.532539715519","8363","97","285226","554","96.095660036166","121","78","433","Jasmina Wiemann","Jason M. Crawford","Derek E. G. Briggs",NA,"article","85573714","1.5.4","FALSE","88","6","2","71",NA,NA,NA,NA,NA,"79","1595002910","102.36","102.36","102.36","0","0","0","0","0","0","0","0","0","102.36","http://dx.doi.org/10.1126/sciadv.aba6883","1594405242","1594339200","0","16","0","16","https://badges.altmetric.com/?size=64&score=103&types=mbtttttt","https://badges.altmetric.com/?size=100&score=103&types=mbtttttt","https://badges.altmetric.com/?size=180&score=103&types=mbtttttt","http://www.altmetric.com/details.php?citation_id=85573714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci9","Exceptional preservation of mid-Cretaceous marine arthropods and the evolution of novel forms via heterochrony","10.1126/sciadv.aav3875","31032408",NA,NA,"552536762a83eec8018b456b","2375-2548","Science Advances","256","26","4",NA,"16230210","9.1774407354774","12421","99","16217808","5507","119.28720305122","166","96","5341","272426","13.45415375975","385","99","272041","319","93.679540880503","10","96","309","J. Luque","R. M. Feldmann","O. Vernygora","C. E. Schweitzer","article","59460735","1.5.4","FALSE","411","57","8","288","3","3",NA,NA,NA,"359","1605036581","727.63","15.7","13.6","9.05","8.3","0","0","0","0","0","0","0","727.63","http://dx.doi.org/10.1126/sciadv.aav3875","1556128947","1556064000","0","37","0","37","https://badges.altmetric.com/?size=64&score=728&types=mbttttwf","https://badges.altmetric.com/?size=100&score=728&types=mbttttwf","https://badges.altmetric.com/?size=180&score=728&types=mbttttwf","http://www.altmetric.com/details.php?citation_id=59460735",NA,"C. B. Cameron","K. A. Kerr","F. J. Vega","A. Duque","M. Strange","A. R. Palmer","C. Jaramillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sci10","Little lasting impact of the Paleocene-Eocene Thermal Maximum on shallow marine molluscan faunas","10.1126/sciadv.aat5528","30191179","PMC6124918","2018SciA....4.5528I","552536762a83eec8018b456b","2375-2548","Science Advances","6","4",NA,"Global warming, acidification, and oxygen stress at the Paleocene-Eocene Thermal Maximum (PETM) are associated with severe extinction in the deep sea and major biogeographic and ecologic changes in planktonic and terrestrial ecosystems, yet impacts on shallow marine macrofaunas are obscured by the incompleteness of shelf sections. We analyze mollusk assemblages bracketing (but not including) the PETM and find few notable lasting impacts on diversity, turnover, functional ecology, body size, or life history of important clades. Infaunal and chemosymbiotic taxa become more common, and body size and abundance drop in one clade, consistent with hypoxia-driven selection, but within-clade changes are not generalizable across taxa. While an unrecorded transient response is still possible, the long-term evolutionary impact is minimal. Adaptation to already-warm conditions and slow release of CO2 relative to the time scale of ocean mixing likely buffered the impact of PETM climate change on shelf faunas.","16218785","9.176334614354","345224","97","15873946","5508","117.29310550209","2040","62","3468","277595","13.767445758914","10710","96","266885","241","137.27976666667","102","57","139","Linda C. Ivany","Carlie Pietsch","John C. Handley","Rowan Lockwood","article","47704096","1.5.4","FALSE","24","7","3","10",NA,"2",NA,NA,NA,"22","1589991938","67.302","0.5","0","0","0","0","0","0","0","0","0","0","67.302","http://dx.doi.org/10.1126/sciadv.aat5528","1536170883","1536105600","0","29","0","29","https://badges.altmetric.com/?size=64&score=68&types=mmbttttw","https://badges.altmetric.com/?size=100&score=68&types=mmbttttw","https://badges.altmetric.com/?size=180&score=68&types=mmbttttw","http://www.altmetric.com/details.php?citation_id=47704096",NA,"Warren D. Allmon","Jocelyn A. Sessa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
