pubs,name,value,abbrev
JOURNAL OF VERTEBRATE PALEONTOLOGY,records,34.096,J. Vertebr. Paleontol
JOURNAL OF VERTEBRATE PALEONTOLOGY,jif,-2.19,J. Vertebr. Paleontol
JOURNAL OF PALEONTOLOGY,records,12.997,J. Paleontol.
JOURNAL OF PALEONTOLOGY,jif,-1.353,J. Paleontol.
PALAEONTOLOGY,records,7.565,Paleontology
PALAEONTOLOGY,jif,-3.73,Paleontology
PALEOBIOLOGY,records,4.535,Paleobiology
PALEOBIOLOGY,jif,-2.4,Paleobiology
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,records,2.505,J. Syst. Palaeontol.
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,jif,-2.326,J. Syst. Palaeontol.
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,records,1.72,P3
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,jif,-2.375,P3
PAPERS IN PALAEONTOLOGY,records,1.429,Pap. Palaeontol.
PAPERS IN PALAEONTOLOGY,jif,-2.156,Pap. Palaeontol.
PALAEOWORLD,records,1.318,Palaeoworld
PALAEOWORLD,jif,-1.094,Palaeoworld
CRETACEOUS RESEARCH,records,1.027,Cretac. Res
CRETACEOUS RESEARCH,jif,-1.928,Cretac. Res
SCIENCE,records,0.935,Science
SCIENCE,jif,-41.058,Science
NATURE,records,0.862,Nature
NATURE,jif,-41.577,Nature
ACTA PALAEONTOLOGICA POLONICA,records,0.667,Acta Palaeontol. Pol.
ACTA PALAEONTOLOGICA POLONICA,jif,-1.887,Acta Palaeontol. Pol.
JOURNAL OF HUMAN EVOLUTION,records,0.575,J. Hum. Evol
JOURNAL OF HUMAN EVOLUTION,jif,-3.992,J. Hum. Evol
QUATERNARY INTERNATIONAL,records,0.575,Quat. Int
QUATERNARY INTERNATIONAL,jif,-2.163,Quat. Int
PLOS ONE,records,0.559,PLoS One
PLOS ONE,jif,-2.766,PLoS One
SWISS JOURNAL OF PALAEONTOLOGY,records,0.536,Swiss J. Palaeontol.
SWISS JOURNAL OF PALAEONTOLOGY,jif,-0.953,Swiss J. Palaeontol.
HISTORICAL BIOLOGY,records,0.529,Hist. Biol.
HISTORICAL BIOLOGY,jif,-1.249,Hist. Biol.
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,records,0.529,PNAS
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,jif,-9.504,PNAS
PALAEONTOLOGIA ELECTRONICA,records,0.471,Palaeontol. Electron.
PALAEONTOLOGIA ELECTRONICA,jif,-1.41,Palaeontol. Electron.
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,records,0.467,Zool J Linnean Soc
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,jif,-2.685,Zool J Linnean Soc
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,records,0.456,Rev. Palaeobot. Palynol.
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,jif,-1.665,Rev. Palaeobot. Palynol.
COMPTES RENDUS PALEVOL,records,0.441,C R Palevol
COMPTES RENDUS PALEVOL,jif,-1.433,C R Palevol
ZOOTAXA,records,0.41,Zootaxa
ZOOTAXA,jif,-0.931,Zootaxa
PALAIOS,records,0.391,Palaios
PALAIOS,jif,-1.702,Palaios
GEOBIOS,records,0.375,Geobios
GEOBIOS,jif,-1.205,Geobios
